Architecture,Window,Layers,Units,LearningRate,Fold1_MSE,Fold2_MSE,Fold3_MSE,Fold4_MSE,Fold5_MSE,Fold6_MSE,Fold7_MSE,Fold8_MSE,Fold9_MSE,Fold10_MSE,Avg_MSE,Avg_MAE,Train_Time_sec
dense,5,8,16,0.0005,0.004937553778290749,0.005774352233856916,0.004741541109979153,,,,,,,,0.0051511490407089395,0.04998041565219561,40.58
dense,5,8,32,0.01,0.003301923396065831,0.0055602299980819225,0.004693625494837761,,,,,,,,0.0045185929629951715,0.04634487504760424,39.21
dense,5,8,32,0.005,0.003525219624862075,0.0047798617742955685,0.003965789917856455,,,,,,,,0.0040902904390047,0.04321113352974256,43.47
dense,5,8,32,0.001,0.003954016137868166,0.005386181641370058,0.00445125438272953,,,,,,,,0.004597150720655918,0.045751214027404785,48.26
dense,5,8,32,0.0005,0.0045999763533473015,0.0061800796538591385,0.004774436820298433,,,,,,,,0.005184830942501624,0.04884689673781395,45.15
dense,5,8,64,0.01,0.0031751329079270363,0.005135778337717056,0.0037919124588370323,,,,,,,,0.004034274568160375,0.042104857663313545,45.76
dense,5,8,64,0.005,0.003452081000432372,0.005354359280318022,0.0038182931020855904,,,,,,,,0.004208244460945328,0.04253811885913213,44.91
dense,5,8,64,0.001,0.0038381663616746664,0.005620939191430807,0.004158932715654373,,,,,,,,0.0045393460895866156,0.0449416550497214,45.99
dense,5,8,64,0.0005,0.004269069992005825,0.005822297651320696,0.005206949543207884,,,,,,,,0.005099439062178135,0.04849297429124514,48.17
dense,5,8,128,0.01,0.0029917266219854355,0.004254989326000214,0.004294863436371088,,,,,,,,0.0038471931281189122,0.0413722296555837,44.34
dense,5,8,128,0.005,0.002534691011533141,0.003466738620772958,0.004167479462921619,,,,,,,,0.0033896363650759063,0.03873884305357933,57.0
dense,5,8,128,0.001,0.0026497384533286095,0.005049639381468296,0.004357290919870138,,,,,,,,0.004018889584889014,0.04212400441368421,63.6
dense,5,8,128,0.0005,0.0034691800829023123,0.006288261152803898,0.004620443098247051,,,,,,,,0.004792628111317754,0.04590609297156334,65.63
dense,5,8,256,0.01,0.003343384712934494,0.004045377019792795,0.004329049494117498,,,,,,,,0.003905937075614929,0.04287196695804596,101.56
dense,5,8,256,0.005,0.002754224929958582,0.003979729022830725,0.0035241669975221157,,,,,,,,0.0034193736501038074,0.03848143294453621,90.38
dense,5,8,256,0.001,0.003029013518244028,0.004992574919015169,0.003838016651570797,,,,,,,,0.003953201696276665,0.04177804539601008,102.18
dense,5,8,256,0.0005,0.003004783531650901,0.005246353801339865,0.0037001001182943583,,,,,,,,0.003983745817095041,0.04261880616346995,105.19
dense,5,10,16,0.01,0.003735101781785488,0.004485378507524729,0.004168414510786533,,,,,,,,0.00412963160003225,0.04570800190170606,66.88
dense,5,10,16,0.005,0.0032315130811184645,0.005715153645724058,0.0044572604820132256,,,,,,,,0.00446797573628525,0.04534679278731346,58.24
dense,5,10,16,0.001,0.0037402913440018892,0.005188177339732647,0.004443429410457611,,,,,,,,0.004457299364730716,0.046121700356403984,49.75
dense,5,10,16,0.0005,0.005408152937889099,0.0074791135266423225,0.005896348971873522,,,,,,,,0.006261205145468314,0.053401959439118706,46.04
dense,5,10,32,0.01,0.0031026676297187805,0.004522661212831736,0.0048776306211948395,,,,,,,,0.004167653154581785,0.04587275286515554,42.04
dense,5,10,32,0.005,0.0029995727818459272,0.005227058194577694,0.004261468071490526,,,,,,,,0.004162699682638049,0.04326550786693891,46.04
dense,5,10,32,0.001,0.003350074402987957,0.0047453767620027065,0.0041275909170508385,,,,,,,,0.004074347360680501,0.04349640881021818,51.14
dense,5,10,32,0.0005,0.005163211841136217,0.005191694013774395,0.005000237841159105,,,,,,,,0.005118381232023239,0.04832360024253527,45.66
dense,5,10,64,0.01,0.004174820613116026,0.004979827906936407,0.003676240798085928,,,,,,,,0.004276963106046121,0.04544093211491903,39.39
dense,5,10,64,0.005,0.0033852260094136,0.0039653773419559,0.003558219876140356,,,,,,,,0.003636274409169952,0.04018662994106611,42.03
dense,5,10,64,0.001,0.0030873455107212067,0.005595132242888212,0.00386000401340425,,,,,,,,0.004180827255671223,0.04260587816437086,53.35
dense,5,10,64,0.0005,0.003734734607860446,0.0062616667710244656,0.004687965847551823,,,,,,,,0.004894789075478911,0.046892849107583366,52.33
dense,5,10,128,0.01,0.002931423019617796,0.004532543942332268,0.0042312266305089,,,,,,,,0.003898397864152988,0.042619304110606514,59.41
dense,5,10,128,0.005,0.002970341593027115,0.0038329907692968845,0.003932130057364702,,,,,,,,0.003578487473229567,0.04009589677055677,47.59
dense,5,10,128,0.001,0.003690923098474741,0.004738532938063145,0.004599674604833126,,,,,,,,0.004343043547123671,0.043926216661930084,69.43
dense,5,10,128,0.0005,0.004550491459667683,0.005969350691884756,0.003992920275777578,,,,,,,,0.004837587475776672,0.045773894836505256,82.6
dense,5,10,256,0.01,0.0034068417735397816,0.0056551191955804825,0.004137922078371048,,,,,,,,0.004399961015830438,0.04529702042539915,116.19
dense,5,10,256,0.005,0.0034713679924607277,0.003980761859565973,0.004091448150575161,,,,,,,,0.0038478593342006207,0.04105662430326144,106.4
dense,5,10,256,0.001,0.0028955494053661823,0.00397070636972785,0.0035823045764118433,,,,,,,,0.0034828534505019584,0.03979415943225225,111.57
dense,5,10,256,0.0005,0.003832434304058552,0.0042864358983933926,0.0036002597771584988,,,,,,,,0.003906376659870148,0.041306166599194206,120.55
dense,5,12,16,0.01,0.003900190582498908,0.0058657387271523476,0.004703029524534941,,,,,,,,0.004822986278062065,0.04939926664034525,78.16
dense,5,12,16,0.005,0.003320858580991626,0.007977866567671299,0.004324196372181177,,,,,,,,0.005207640506948034,0.04786216591795286,77.7
dense,5,12,16,0.001,0.004542826674878597,0.004538613371551037,0.004690243396908045,,,,,,,,0.004590561147779226,0.047327024241288505,55.09
dense,5,12,16,0.0005,0.005471654701977968,0.005707703530788422,0.004842964466661215,,,,,,,,0.005340774233142535,0.05105338618159294,54.07
dense,5,12,32,0.01,0.003273370210081339,0.004673712886869907,0.0035332650877535343,,,,,,,,0.0038267827282349267,0.04293221483627955,49.38
dense,5,12,32,0.005,0.00389844155870378,0.004808852449059486,0.004081755876541138,,,,,,,,0.004263016628101468,0.044104866683483124,55.26
dense,5,12,32,0.001,0.004398616962134838,0.006773310713469982,0.005105862393975258,,,,,,,,0.005425930023193359,0.04782145470380783,51.59
dense,5,12,32,0.0005,0.004877336323261261,0.005990093108266592,0.006056013982743025,,,,,,,,0.005641147804756959,0.051097178210814796,50.69
dense,5,12,64,0.01,0.00310523621737957,0.004962006583809853,0.00451712915673852,,,,,,,,0.004194790652642648,0.04412967090805372,43.89
dense,5,12,64,0.005,0.0034917041193693876,0.004066739231348038,0.003570708679035306,,,,,,,,0.0037097173432509103,0.041376097748676934,55.07
dense,5,12,64,0.001,0.0034048582892864943,0.004845437128096819,0.005019507370889187,,,,,,,,0.004423267596090834,0.04406433552503586,62.74
dense,5,12,64,0.0005,0.0038810449186712503,0.005954224616289139,0.0043264939449727535,,,,,,,,0.004720587826644381,0.04631014416615168,59.87
dense,5,12,128,0.01,0.003428347874432802,0.003914237022399902,0.004199498798698187,,,,,,,,0.0038473612318436303,0.042639185984929405,67.12
dense,5,12,128,0.005,0.002865515649318695,0.004206125624477863,0.0037098820321261883,,,,,,,,0.003593841101974249,0.039916002502044044,62.56
dense,5,12,128,0.001,0.0037546453531831503,0.005364107899367809,0.003713598009198904,,,,,,,,0.004277450420583288,0.04276746263106664,74.84
dense,5,12,128,0.0005,0.0033699595369398594,0.004806539975106716,0.004157303366810083,,,,,,,,0.004111267626285553,0.043069325387477875,86.0
dense,5,12,256,0.01,0.0037091507110744715,0.006043353583663702,0.004923498723655939,,,,,,,,0.004892001006131371,0.04959090674916903,134.25
dense,5,12,256,0.005,0.002729574451223016,0.004265789408236742,0.00351879489608109,,,,,,,,0.0035047195851802826,0.0389335664610068,125.64
dense,5,12,256,0.001,0.0030573257245123386,0.004909874405711889,0.0036455700173974037,,,,,,,,0.003870923382540544,0.04060801242788633,139.12
dense,5,12,256,0.0005,0.003238092176616192,0.004806712735444307,0.004072821699082851,,,,,,,,0.004039208870381117,0.04219007988770803,142.03
dense,10,5,16,0.01,0.0033005522564053535,0.005659477319568396,0.004908792208880186,,,,,,,,0.004622940594951312,0.04899451012412707,60.6
dense,10,5,16,0.005,0.0038855099119246006,0.004969967063516378,0.004294914193451405,,,,,,,,0.004383463722964128,0.04616702472170194,64.51
dense,10,5,16,0.001,0.003543723141774535,0.005482085049152374,0.00422996561974287,,,,,,,,0.00441859127022326,0.0463368259370327,40.63
dense,10,5,16,0.0005,0.005976034794002771,0.006476877722889185,0.005807512439787388,,,,,,,,0.006086808318893115,0.05305717264612516,38.54
dense,10,5,32,0.01,0.0038096096832305193,0.0049669197760522366,0.004526828415691853,,,,,,,,0.004434452624991536,0.04651832456390063,42.12
dense,10,5,32,0.005,0.0031016822904348373,0.0043230061419308186,0.005280493758618832,,,,,,,,0.004235060730328162,0.04504777863621712,39.8
dense,10,5,32,0.001,0.0034577632322907448,0.006871833465993404,0.004510803613811731,,,,,,,,0.0049468001040319605,0.04581517602006594,39.91
dense,10,5,32,0.0005,0.00548951793462038,0.008093217387795448,0.005065827630460262,,,,,,,,0.006216187650958697,0.052793131520350776,41.02
dense,10,5,64,0.01,0.0037808320485055447,0.004789846017956734,0.005076001863926649,,,,,,,,0.0045488933101296425,0.04568537324666977,40.19
dense,10,5,64,0.005,0.003068111836910248,0.005124968476593494,0.003677086438983679,,,,,,,,0.003956722250829141,0.041611467798550926,42.34
dense,10,5,64,0.001,0.003744682529941201,0.006752729881554842,0.0041323634795844555,,,,,,,,0.0048765919636934996,0.046180242051680885,47.42
dense,10,5,64,0.0005,0.0035878829658031464,0.007446313742548227,0.004335625097155571,,,,,,,,0.0051232739351689816,0.04623454809188843,46.64
dense,10,5,128,0.01,0.004133050329983234,0.004044624511152506,0.004319807514548302,,,,,,,,0.004165827451894681,0.04311026136080424,44.88
dense,10,5,128,0.005,0.0034057016018778086,0.0035977219231426716,0.003951431252062321,,,,,,,,0.0036516182590276003,0.04038394118348757,47.64
dense,10,5,128,0.001,0.002986523089930415,0.005100374575704336,0.004087657202035189,,,,,,,,0.00405818495588998,0.0420175368587176,58.36
dense,10,5,128,0.0005,0.004311225842684507,0.007543440442532301,0.005115212872624397,,,,,,,,0.005656626385947068,0.04927163695295652,59.49
dense,10,5,256,0.01,0.003254922805353999,0.0042011933401227,0.004261058755218983,,,,,,,,0.0039057249668985605,0.042333200573921204,81.67
dense,10,5,256,0.005,0.00295662390999496,0.00447148596867919,0.0038119805976748466,,,,,,,,0.0037466968254496655,0.04063963517546654,80.11
dense,10,5,256,0.001,0.0026728855445981026,0.006290314719080925,0.0038649223279207945,,,,,,,,0.004276040863866608,0.043115892757972084,71.77
dense,10,5,256,0.0005,0.005674074869602919,0.0078094154596328735,0.004147359170019627,,,,,,,,0.005876949833085139,0.051051722218592964,81.63
dense,10,6,16,0.01,0.0035676315892487764,0.005237617529928684,0.0052942195907235146,,,,,,,,0.004699822903300325,0.04914330939451853,53.92
dense,10,6,16,0.005,0.0036983259487897158,0.00492072943598032,0.004724561236798763,,,,,,,,0.0044478722071896,0.046517262856165566,49.21
dense,10,6,16,0.001,0.003416940802708268,0.005976043175905943,0.004479186609387398,,,,,,,,0.004624056862667203,0.04713176811734835,45.52
dense,10,6,16,0.0005,0.004050894640386105,0.005103633739054203,0.005303242243826389,,,,,,,,0.004819256874422233,0.04897931218147278,39.7
dense,10,6,32,0.01,0.003537624841555953,0.005410872399806976,0.00460482994094491,,,,,,,,0.0045177757274359465,0.04690254976352056,37.23
dense,10,6,32,0.005,0.0039008839521557093,0.004630755633115768,0.004556142259389162,,,,,,,,0.004362593948220213,0.04423501342535019,37.67
dense,10,6,32,0.001,0.0033404058776795864,0.005684484262019396,0.004960705991834402,,,,,,,,0.0046618653771777945,0.04664227987329165,42.22
dense,10,6,32,0.0005,0.003832985879853368,0.006034815218299627,0.005475960671901703,,,,,,,,0.005114587256684899,0.049185736725727715,44.51
dense,10,6,64,0.01,0.004004590678960085,0.004608006216585636,0.004405926913022995,,,,,,,,0.004339507936189572,0.044754972060521446,36.17
dense,10,6,64,0.005,0.0028962078504264355,0.005453332792967558,0.004007186274975538,,,,,,,,0.004118908972789844,0.042636419336001076,35.49
dense,10,6,64,0.001,0.0029559708200395107,0.005052582360804081,0.004090570379048586,,,,,,,,0.004033041186630726,0.04207262645165125,43.65
dense,10,6,64,0.0005,0.0033441835548728704,0.005632441956549883,0.004566331394016743,,,,,,,,0.004514318968479832,0.045521813134352364,43.85
dense,10,6,128,0.01,0.003574223257601261,0.004086731467396021,0.004110940732061863,,,,,,,,0.003923965152353048,0.0429628516236941,47.96
dense,10,6,128,0.005,0.0029617806430906057,0.003976202104240656,0.0038313246332108974,,,,,,,,0.0035897691268473864,0.03928163771828016,47.11
dense,10,6,128,0.001,0.00336424820125103,0.005442605819553137,0.0037197512574493885,,,,,,,,0.004175535092751185,0.04251407956083616,65.93
dense,10,6,128,0.0005,0.004039933905005455,0.0060440655797719955,0.004493704531341791,,,,,,,,0.004859234672039747,0.04645747567216555,67.68
dense,10,6,256,0.01,0.003561668563634157,0.004092850722372532,0.003926178906112909,,,,,,,,0.003860232730706533,0.04264568661650022,83.51
dense,10,6,256,0.005,0.003352958243340254,0.004102471750229597,0.0038226768374443054,,,,,,,,0.0037593689436713853,0.04144259666403135,72.81
dense,10,6,256,0.001,0.003048248589038849,0.0048995837569236755,0.003902375465258956,,,,,,,,0.00395006927040716,0.04194212953249613,80.05
dense,10,6,256,0.0005,0.0043563018552958965,0.006772421300411224,0.004018355160951614,,,,,,,,0.005049026105552912,0.04675978049635887,88.34
dense,10,8,16,0.01,0.004306075628846884,0.004940846469253302,0.005270243156701326,,,,,,,,0.004839055084933837,0.04869021102786064,58.75
dense,10,8,16,0.005,0.00401756027713418,0.005678500048816204,0.0046389163471758366,,,,,,,,0.00477832555770874,0.047303191075722374,61.71
dense,10,8,16,0.001,0.004335041157901287,0.005326785147190094,0.004364152438938618,,,,,,,,0.004675326248009999,0.046654172241687775,46.18
dense,10,8,16,0.0005,0.004078202415257692,0.005971988663077354,0.005096359644085169,,,,,,,,0.005048850240806739,0.04958325376113256,46.54
dense,10,8,32,0.01,0.0036762317176908255,0.00491942185908556,0.0045753056183457375,,,,,,,,0.0043903197317073745,0.044821847230196,41.57
dense,10,8,32,0.005,0.004064187873154879,0.004365621134638786,0.004448132123798132,,,,,,,,0.004292647043863933,0.04451572770873705,41.47
dense,10,8,32,0.001,0.0037974242586642504,0.004766651429235935,0.004595460835844278,,,,,,,,0.004386512174581488,0.044244940082232155,46.11
dense,10,8,32,0.0005,0.005677362903952599,0.005787447094917297,0.004147261846810579,,,,,,,,0.005204023948560159,0.048782153675953545,44.37
dense,10,8,64,0.01,0.003272182773798704,0.005141775589436293,0.004614671692252159,,,,,,,,0.004342876685162385,0.04458771149317423,40.13
dense,10,8,64,0.005,0.003099263645708561,0.004470007494091988,0.0041399160400033,,,,,,,,0.0039030623932679496,0.04201057429114977,45.41
dense,10,8,64,0.001,0.004034984856843948,0.006029562093317509,0.0045626237988471985,,,,,,,,0.004875723583002885,0.04644677539666494,45.78
dense,10,8,64,0.0005,0.0038854272570461035,0.006272278260439634,0.004641031380742788,,,,,,,,0.004932912299409509,0.04646697516242663,46.85
dense,10,8,128,0.01,0.004960064776241779,0.0049001844599843025,0.005404079332947731,,,,,,,,0.005088109523057938,0.0490643655260404,44.39
dense,10,8,128,0.005,0.003348149359226227,0.0038965910207480192,0.004143530037254095,,,,,,,,0.0037960901390761137,0.04103215908010801,57.97
dense,10,8,128,0.001,0.003167640184983611,0.005502397194504738,0.004253909923136234,,,,,,,,0.004307982434208195,0.043577433874209724,70.11
dense,10,8,128,0.0005,0.003867353079840541,0.006196244619786739,0.005114516708999872,,,,,,,,0.005059371469542384,0.04667306194702784,70.12
dense,10,8,256,0.01,0.004596582613885403,0.005232447292655706,0.00473007233813405,,,,,,,,0.004853034081558387,0.048492182046175,135.14
dense,10,8,256,0.005,0.0026585280429571867,0.0042083244770765305,0.0037457067519426346,,,,,,,,0.0035375197573254504,0.03965977827707926,121.47
dense,10,8,256,0.001,0.002897445345297456,0.004440270364284515,0.0035421496722847223,,,,,,,,0.0036266217939555645,0.040403289099534355,103.74
dense,10,8,256,0.0005,0.004109244793653488,0.006320201326161623,0.004184361547231674,,,,,,,,0.0048712692223489285,0.04663434127966563,108.27
dense,10,10,16,0.01,0.004278137348592281,0.0059848204255104065,0.004821255803108215,,,,,,,,0.005028071192403634,0.05024260655045509,62.31
dense,10,10,16,0.005,0.0037992079742252827,0.004816323518753052,0.004771198146045208,,,,,,,,0.004462243213007848,0.046375016371409096,59.47
dense,10,10,16,0.001,0.004360004793852568,0.004362639505416155,0.004395043011754751,,,,,,,,0.004372562437007825,0.04644860823949178,50.05
dense,10,10,16,0.0005,0.004391373600810766,0.00677998922765255,0.0049127573147416115,,,,,,,,0.005361373381068309,0.05080394074320793,46.06
dense,10,10,32,0.01,0.0037785086315125227,0.0041928524151444435,0.00443112850189209,,,,,,,,0.004134163182849686,0.044931372006734215,47.12
dense,10,10,32,0.005,0.004035317339003086,0.004267804324626923,0.0038445901591330767,,,,,,,,0.004049237274254362,0.04347305620710055,57.94
dense,10,10,32,0.001,0.0034959663171321154,0.005012452602386475,0.005149473436176777,,,,,,,,0.004552630785231789,0.0455533874531587,53.11
dense,10,10,32,0.0005,0.004031653981655836,0.005995087791234255,0.005116860847920179,,,,,,,,0.00504786754027009,0.04858935624361038,53.26
dense,10,10,64,0.01,0.004088013432919979,0.004627944901585579,0.004424032289534807,,,,,,,,0.0043799968746801215,0.04529017706712087,53.48
dense,10,10,64,0.005,0.0033478415571153164,0.005121647380292416,0.004019363783299923,,,,,,,,0.004162950906902552,0.043395371486743294,52.02
dense,10,10,64,0.001,0.004097595810890198,0.004581783898174763,0.00513527961447835,,,,,,,,0.004604886441181104,0.04577199121316274,54.06
dense,10,10,64,0.0005,0.005192100536078215,0.005150913260877132,0.0045866286382079124,,,,,,,,0.0049765474783877535,0.04764314989248911,55.57
dense,10,10,128,0.01,0.0031088488176465034,0.005342031363397837,0.005029592663049698,,,,,,,,0.004493490948031346,0.04576619962851206,67.25
dense,10,10,128,0.005,0.0032131210900843143,0.005462106317281723,0.0037869703955948353,,,,,,,,0.004154065934320291,0.04342905059456825,52.58
dense,10,10,128,0.001,0.003059882903471589,0.004482653457671404,0.004054048098623753,,,,,,,,0.003865528153255582,0.04141043002406756,74.23
dense,10,10,128,0.0005,0.004310908727347851,0.0043877786956727505,0.0045333546586334705,,,,,,,,0.00441068069388469,0.04531639441847801,86.71
dense,10,10,256,0.01,0.00623176246881485,0.0050453911535441875,0.011851616203784943,,,,,,,,0.007709589942047994,0.06137740736206373,126.11
dense,10,10,256,0.005,0.0035464477259665728,0.0035166123416274786,0.005001358687877655,,,,,,,,0.004021472918490569,0.043252717703580856,123.25
dense,10,10,256,0.001,0.003316217567771673,0.004455104935914278,0.0037107025273144245,,,,,,,,0.0038273416770001254,0.04166333004832268,110.36
dense,10,10,256,0.0005,0.004117441363632679,0.006272136699408293,0.004497519228607416,,,,,,,,0.004962365763882796,0.04616177827119827,121.18
dense,10,12,16,0.01,0.004455786198377609,0.004641842097043991,0.005276316311210394,,,,,,,,0.004791314868877332,0.049074298391739525,68.49
dense,10,12,16,0.005,0.004488682374358177,0.005088970996439457,0.004138150718063116,,,,,,,,0.004571934696286917,0.047686303655306496,79.22
dense,10,12,16,0.001,0.004073640797287226,0.004361570347100496,0.004891867749392986,,,,,,,,0.004442359631260236,0.04776151478290558,66.01
dense,10,12,16,0.0005,0.004401473794132471,0.006085566245019436,0.0055695162154734135,,,,,,,,0.00535218541820844,0.052052151411771774,59.15
dense,10,12,32,0.01,0.004192168824374676,0.006014034617692232,0.004775780253112316,,,,,,,,0.004993994565059741,0.04860774800181389,59.92
dense,10,12,32,0.005,0.003207216039299965,0.004543113522231579,0.004304676316678524,,,,,,,,0.0040183352927366895,0.04338890810807546,64.9
dense,10,12,32,0.001,0.00423048809170723,0.005223969463258982,0.003656547050923109,,,,,,,,0.004370334868629773,0.04440541317065557,61.16
dense,10,12,32,0.0005,0.004778577480465174,0.0070162382908165455,0.004801800008863211,,,,,,,,0.00553220526004831,0.050804623713095985,66.24
dense,10,12,64,0.01,0.003743094392120838,0.004928457085043192,0.004995143972337246,,,,,,,,0.004555565149833758,0.0465553862353166,54.23
dense,10,12,64,0.005,0.004453917499631643,0.004438179079443216,0.004026010166853666,,,,,,,,0.004306035581976175,0.04431677361329397,61.94
dense,10,12,64,0.001,0.003472929121926427,0.005012049805372953,0.0036331433802843094,,,,,,,,0.004039374102527897,0.04306217531363169,66.17
dense,10,12,64,0.0005,0.004414988216012716,0.005975477397441864,0.004426661413162947,,,,,,,,0.004939042342205842,0.04761053125063578,64.8
dense,10,12,128,0.01,0.003975625149905682,0.004706474952399731,0.004726040177047253,,,,,,,,0.004469380093117555,0.04667635137836138,69.95
