filename,orig_start,orig_end,block,avg_conf,t_start,t_end
A97,196,200,bottom_left,0.10233653411269183,13.0,13.266666666666667
B16,110,114,top_right,0.10273726781209308,7.266666666666667,7.533333333333333
B13,155,159,top_left,0.10433052231868105,10.266666666666667,10.533333333333333
B16,115,119,bottom_right,0.10630557537078855,7.6,7.866666666666666
B16,130,134,top_right,0.10779943441351252,8.6,8.866666666666667
B15,115,119,bottom_right,0.11489621574680008,7.6,7.866666666666666
B11,111,115,top_right,0.11527542471885677,7.333333333333333,7.6
B21,102,106,bottom_right,0.11969962914784744,6.733333333333333,7.0
B16,125,129,top_right,0.11992202103137967,8.266666666666667,8.533333333333333
B13,125,129,top_right,0.12205240080753958,8.266666666666667,8.533333333333333
A157,146,150,bottom_left,0.12271211445331569,9.666666666666666,9.933333333333334
A157,151,155,bottom_left,0.12298890848954515,10.0,10.266666666666667
B12,109,113,top_right,0.12671930193901057,7.2,7.466666666666667
B20,105,109,top_left,0.1283976982037226,6.933333333333334,7.2
B15,110,114,bottom_right,0.12967206512888266,7.266666666666667,7.533333333333333
B12,99,103,bottom_left,0.13042038430770234,6.533333333333333,6.8
B15,105,109,bottom_right,0.13135816653569535,6.933333333333334,7.2
B20,100,104,top_right,0.1319683715701103,6.6,6.866666666666666
B15,120,124,bottom_right,0.1322637575368086,7.933333333333334,8.2
A97,201,205,bottom_left,0.13770029097795486,13.333333333333334,13.6
B14,112,116,top_right,0.1377178790668646,7.4,7.666666666666667
A97,181,185,bottom_right,0.13890295128027594,12.0,12.266666666666667
B14,107,111,bottom_right,0.1411157223085562,7.066666666666666,7.333333333333333
B20,110,114,top_left,0.1417216117183367,7.266666666666667,7.533333333333333
B18,109,113,bottom_right,0.14346534560124077,7.2,7.466666666666667
B16,120,124,bottom_right,0.1437169755498568,7.933333333333334,8.2
A114,102,106,top_left,0.14428137664993598,6.733333333333333,7.0
B21,112,116,top_right,0.14456597467263535,7.4,7.666666666666667
B12,104,108,top_left,0.14465594490369157,6.866666666666666,7.133333333333334
B17,106,110,top_right,0.14619782914717985,7.0,7.266666666666667
A44,115,119,bottom_right,0.1466484909256299,7.6,7.866666666666666
B22,91,95,bottom_right,0.15086685419082638,6.0,6.266666666666667
A97,151,155,top_right,0.15382537096738813,10.0,10.266666666666667
B18,119,123,top_left,0.15817945202191666,7.866666666666666,8.133333333333333
B14,117,121,top_left,0.16091564719875648,7.733333333333333,8.0
A97,146,150,top_left,0.16215840304891263,9.666666666666666,9.933333333333334
B13,130,134,bottom_left,0.16246615598599112,8.6,8.866666666666667
