FrameNo,pose_confidence,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,0.5038811981678009,1014,345,0.7232459187507629,1064,384,0.42393815517425537,942,390,0.6482595205307007,1119,437,0.37789297103881836,885,441,0.4339209198951721,1149,486,0.5801360607147217,844,480,0.3471289277076721,1032,517,0.5231566429138184,945,517,0.40739890933036804,1036,620,0.5756160020828247,951,617,0.6097798347473145,1048,714,0.5002758502960205,937,716,0.38959574699401855
1,0.5273126184940338,1009,346,0.6742315888404846,1082,383,0.44652244448661804,936,390,0.581473171710968,1139,415,0.47950735688209534,871,431,0.3244459927082062,1193,420,0.5635362267494202,817,437,0.3984243869781494,1031,518,0.5034799575805664,955,520,0.585492730140686,1031,621,0.5579203963279724,945,620,0.6158053874969482,1050,715,0.5116118788719177,940,717,0.49622881412506104
2,0.6006982445716857,1017,347,0.6621478199958801,1086,381,0.6354352235794067,944,386,0.5244544148445129,1149,393,0.4776018261909485,856,395,0.4533754885196686,1223,365,0.5785083174705505,786,378,0.5504390001296997,1039,525,0.6097313165664673,948,525,0.7024434804916382,1044,621,0.5641887187957764,943,623,0.6373477578163147,1040,718,0.4993034601211548,950,719,0.5318368673324585
3,0.5385092139244079,1023,341,0.5688993334770203,1091,381,0.5664165019989014,951,380,0.4126136600971222,1168,375,0.4954925775527954,854,377,0.4133981764316559,1240,337,0.4912205636501312,789,343,0.47569048404693604,1024,527,0.5113011598587036,952,528,0.6898104548454285,1040,620,0.5151714086532593,946,620,0.5467718839645386,1044,718,0.4915309250354767,945,721,0.5121332406997681
4,0.5573030531406402,1016,338,0.5271368622779846,1092,374,0.5795782804489136,938,377,0.5380216240882874,1158,370,0.45683470368385315,831,355,0.4714154005050659,1236,319,0.5739639401435852,770,310,0.39242294430732727,1025,518,0.476936012506485,949,522,0.6576104164123535,1035,616,0.6230676174163818,939,619,0.6932138800621033,1046,713,0.5482627749443054,946,718,0.5683482885360718
5,0.604542475938797,1015,339,0.5066782236099243,1069,373,0.5565891265869141,943,376,0.6061617732048035,1168,361,0.3886563181877136,854,349,0.4346366226673126,1228,293,0.6243976950645447,782,294,0.49911928176879883,1026,521,0.5792683959007263,949,524,0.7261591553688049,1039,622,0.6247002482414246,937,622,0.7271472215652466,1044,714,0.5954928398132324,943,717,0.6419311761856079
6,0.6200409591197967,1008,345,0.6103950142860413,1087,377,0.568760871887207,946,377,0.6008670330047607,1167,343,0.430453360080719,869,348,0.5334935188293457,1206,283,0.6921461820602417,801,278,0.7193108797073364,1027,522,0.6008970141410828,952,525,0.7288544178009033,1039,625,0.629367470741272,941,624,0.7248900532722473,1042,712,0.6176570653915405,942,716,0.6755979657173157
7,0.6160698890686035,1011,337,0.5506912469863892,1074,376,0.6389223337173462,941,377,0.5751001834869385,1148,340,0.4166204333305359,862,328,0.4663389325141907,1207,252,0.615056574344635,800,267,0.7469692826271057,1025,520,0.5714916586875916,948,522,0.7270765900611877,1039,625,0.6334759593009949,941,624,0.7091614603996277,1038,714,0.5778307914733887,946,718,0.6089834570884705
8,0.6368248105049134,1014,338,0.5502670407295227,1078,375,0.6157103180885315,944,375,0.6195482611656189,1147,335,0.38115060329437256,863,324,0.526128351688385,1200,241,0.6352167129516602,822,250,0.6992970705032349,1025,523,0.625165581703186,950,525,0.7533023953437805,1041,630,0.6269298195838928,943,628,0.7017843723297119,1037,714,0.5769984126091003,949,720,0.6085073947906494
9,0.635755842924118,1014,335,0.5192691683769226,1071,370,0.6144832372665405,943,370,0.6443157196044922,1142,317,0.5125069618225098,880,315,0.5321029424667358,1186,237,0.7102909088134766,835,242,0.32456061244010925,1023,522,0.5972256660461426,948,522,0.7546292543411255,1037,627,0.6545440554618835,943,626,0.7252632975578308,1033,714,0.5619827508926392,949,719,0.6214104890823364
10,0.643517279624939,1014,329,0.4438280463218689,1077,366,0.6189905405044556,940,366,0.644588828086853,1141,308,0.5697545409202576,876,311,0.5393795967102051,1177,230,0.7061904072761536,852,231,0.5123189687728882,1023,521,0.6102807521820068,948,523,0.7629190683364868,1031,625,0.6568072438240051,942,624,0.7452932000160217,1033,713,0.5910335183143616,947,718,0.6415207386016846
11,0.6303849577903747,1016,332,0.5706355571746826,1076,366,0.606529176235199,942,366,0.6088167428970337,1138,304,0.5120171308517456,886,305,0.5097983479499817,1164,225,0.5819259285926819,880,229,0.4338109493255615,1023,521,0.6080795526504517,950,522,0.7526940107345581,1035,625,0.7095047831535339,944,623,0.7514508962631226,1033,713,0.5818725824356079,947,718,0.6376416087150574
12,0.5592557311058044,1010,329,0.5159261226654053,1072,368,0.604710578918457,943,368,0.5975257754325867,1140,304,0.39095160365104675,880,301,0.4136708676815033,1139,229,0.28090542554855347,867,237,0.5270738005638123,1027,514,0.4677208364009857,949,515,0.6154574751853943,1032,621,0.6532355546951294,945,622,0.713823676109314,1031,712,0.5184965133666992,950,719,0.5628265738487244
13,0.5692664861679076,1013,327,0.43151628971099854,1072,366,0.6124904155731201,946,366,0.5732403993606567,1128,283,0.54105544090271,898,295,0.3707486093044281,1138,212,0.432585209608078,885,228,0.3858521580696106,1025,514,0.4778025150299072,948,515,0.6424993276596069,1026,621,0.6532025337219238,943,622,0.7389891147613525,1025,708,0.525743305683136,949,715,0.6395899653434753
14,0.5782546281814575,1012,328,0.5655731558799744,1073,366,0.6189970374107361,946,365,0.5856490135192871,1134,279,0.5678171515464783,897,291,0.30032745003700256,1134,211,0.4268698990345001,892,229,0.28655335307121277,1027,514,0.5130628943443298,949,515,0.6465421915054321,1030,622,0.6662542223930359,944,622,0.7360278964042664,1030,709,0.4696109890937805,951,714,0.627430260181427
15,0.5909079074859619,1007,327,0.5241196751594543,1073,362,0.6140802502632141,941,364,0.5767391324043274,1130,276,0.583640456199646,894,290,0.28748413920402527,1130,210,0.40110909938812256,885,230,0.3674750030040741,1029,516,0.5568220615386963,952,516,0.6594710946083069,1038,623,0.7027407884597778,951,622,0.7368412017822266,1029,709,0.5133033990859985,954,714,0.6373898386955261
16,0.577704656124115,1007,327,0.5155279040336609,1072,364,0.6338998675346375,947,365,0.5522406101226807,1126,272,0.46797317266464233,901,287,0.2742948830127716,1128,209,0.39070069789886475,918,226,0.14881795644760132,1028,517,0.5632613897323608,952,516,0.6627501845359802,1035,620,0.5385446548461914,952,618,0.567035973072052,1033,711,0.508123517036438,952,713,0.4809054732322693
17,0.5679750263690948,1014,327,0.5643349289894104,1075,363,0.6167910099029541,948,365,0.5751585960388184,1113,274,0.3621217608451843,899,268,0.33319225907325745,1117,204,0.3589600920677185,919,222,0.1742704063653946,1029,514,0.5498899817466736,954,515,0.6266213655471802,1026,622,0.478885293006897,952,624,0.740079939365387,1030,711,0.47115087509155273,952,714,0.4749305248260498
18,0.57237988114357,1011,328,0.5258395075798035,1075,363,0.6146438717842102,942,364,0.5657176971435547,1111,274,0.37331172823905945,896,265,0.37817707657814026,1119,203,0.3081880509853363,912,221,0.25724920630455017,1028,514,0.529421865940094,952,516,0.6515262126922607,1022,622,0.5619579553604126,952,624,0.7174869179725647,1022,710,0.5446191430091858,952,715,0.6177038550376892
19,0.5280643880367278,1006,324,0.36860600113868713,1068,358,0.5201112031936646,931,360,0.46165528893470764,1115,250,0.4362599551677704,894,256,0.35642096400260925,1117,198,0.2515033781528473,914,223,0.177058607339859,1026,514,0.5165861248970032,946,515,0.6490141153335571,1026,621,0.6119683980941772,951,617,0.5457190275192261,1022,710,0.576671838760376,954,713,0.5031324625015259
20,0.5541913270950317,1001,325,0.368686318397522,1066,358,0.5742190480232239,933,364,0.5077533721923828,1109,271,0.5789493322372437,898,269,0.4454818665981293,1109,207,0.3360224664211273,918,222,0.2235405594110489,1024,515,0.5013870000839233,947,516,0.6573204398155212,1021,621,0.6038610339164734,950,623,0.7089820504188538,1022,708,0.5530584454536438,953,713,0.6336866021156311
21,0.5424149096012115,993,326,0.30299556255340576,1060,360,0.5874555706977844,930,366,0.5075671672821045,1110,267,0.5451407432556152,901,268,0.4076622724533081,1102,213,0.3584161698818207,918,224,0.21200938522815704,1025,514,0.48547041416168213,948,515,0.6318596601486206,1022,622,0.6061213612556458,949,618,0.542959988117218,1022,709,0.5399487614631653,952,714,0.6198045611381531
22,0.5280085325241088,993,328,0.5233729481697083,1054,355,0.5485324263572693,925,362,0.4656500220298767,1110,266,0.5341066718101501,895,260,0.346968412399292,1098,202,0.26403602957725525,910,211,0.1829414814710617,1025,514,0.49981844425201416,946,515,0.6270831227302551,1020,623,0.6176473498344421,947,620,0.5822018980979919,1021,710,0.578952431678772,950,714,0.6188045144081116
23,0.5131603360176087,990,327,0.5801006555557251,1050,353,0.5505174398422241,920,359,0.42352283000946045,1107,266,0.5282536745071411,893,261,0.38938477635383606,1099,203,0.2622346878051758,908,213,0.21242591738700867,1022,513,0.4640663266181946,942,514,0.6069441437721252,1013,623,0.6043189764022827,948,621,0.5859023332595825,1016,708,0.5842917561531067,949,713,0.6160238981246948
24,0.5633623659610748,987,325,0.5333074331283569,1043,351,0.5186465978622437,918,357,0.4053957760334015,1107,268,0.5230362415313721,893,259,0.39371949434280396,1109,204,0.31344571709632874,906,213,0.20193107426166534,1030,514,0.72685706615448,939,512,0.6838133335113525,998,621,0.6298415660858154,939,620,0.5414559245109558,1013,713,0.5505781173706055,939,718,0.5536676645278931
25,0.5691830933094024,993,324,0.5502983331680298,1046,354,0.5129591822624207,929,362,0.49178510904312134,1105,276,0.5227749347686768,895,283,0.38482049107551575,1097,207,0.3065282702445984,909,221,0.26218506693840027,1038,514,0.6739817261695862,949,513,0.6643965840339661,1011,625,0.6301161050796509,941,623,0.6054888367652893,1021,712,0.5660300850868225,941,718,0.560398519039154
26,0.5761390328407288,1000,323,0.559110701084137,1052,354,0.5179204940795898,930,360,0.4877502918243408,1102,277,0.5832575559616089,897,286,0.4797574281692505,1091,206,0.29876822233200073,914,219,0.2247033417224884,1039,513,0.6704119443893433,949,512,0.6840830445289612,1010,627,0.6319175362586975,944,624,0.6267415285110474,1016,712,0.5574238896369934,943,718,0.5628153085708618
27,0.5250019550323486,981,312,0.39406058192253113,1052,346,0.5514761209487915,918,350,0.31974518299102783,1113,265,0.4879556894302368,895,281,0.30236977338790894,1099,212,0.1905740350484848,906,228,0.21508090198040009,1026,509,0.6004921197891235,949,512,0.7092474699020386,1019,623,0.6532195210456848,944,621,0.6093226075172424,1020,713,0.5561427474021912,946,714,0.4320674240589142
28,0.4943814396858215,983,318,0.4735420048236847,1055,353,0.5847032070159912,916,354,0.3616812527179718,1112,256,0.42352160811424255,894,279,0.2648093104362488,1088,205,0.1882011890411377,902,216,0.1432315856218338,1030,511,0.48179689049720764,942,512,0.6019861698150635,1016,623,0.6054561734199524,943,617,0.5391530990600586,1014,711,0.5768294334411621,946,712,0.457576721906662
29,0.5611675381660461,976,321,0.5147161483764648,1049,358,0.5454642176628113,921,359,0.41106536984443665,1114,253,0.39283958077430725,895,280,0.27490416169166565,1098,203,0.2751336991786957,910,227,0.21204185485839844,1036,513,0.7088062167167664,950,513,0.669478714466095,1003,623,0.5959896445274353,942,619,0.5108924508094788,1014,711,0.5708413124084473,940,718,0.6130982637405396
30,0.5410426676273346,985,324,0.4967769980430603,1046,354,0.47740450501441956,924,361,0.44703221321105957,1117,252,0.40319085121154785,892,256,0.25478309392929077,1100,199,0.2596544325351715,910,221,0.16845014691352844,1034,516,0.6455456018447876,943,517,0.6633500456809998,1004,623,0.5630829334259033,937,617,0.4955331087112427,1014,710,0.5598219037055969,936,714,0.6393334865570068
