FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
118,1054,401,1118,456,953,436,1163,484,870,444,1120,443,995,414,1094,596,978,594,1204,647,1002,663,1111,740,1005,726
119,1048,400,1117,454,955,435,1162,484,868,444,1116,445,1002,413,1096,596,977,593,1200,646,1006,661,1105,739,1009,725
120,1039,396,1114,445,956,429,1163,484,875,446,1106,437,995,413,1094,584,981,580,1196,645,1029,661,1102,734,1017,726
121,1044,396,1120,445,960,426,1162,479,871,444,1112,427,993,409,1089,592,978,590,1201,642,1014,661,1089,737,1015,726
122,1046,395,1113,440,959,424,1152,467,874,434,1083,415,989,407,1080,582,976,578,1200,646,1039,662,1096,734,1017,722
123,1049,389,1114,438,962,421,1158,473,872,426,1118,426,982,402,1086,583,978,577,1194,645,1016,668,1098,734,1013,720
124,1041,383,1096,429,953,413,1144,455,870,420,1123,425,998,390,1087,565,990,564,1201,651,1060,658,1088,729,1018,722
125,1033,374,1096,418,950,412,1154,450,859,405,1099,400,967,375,1095,567,993,566,1190,649,1009,659,1109,734,978,707
126,1016,363,1081,414,928,408,1138,434,846,387,1074,383,973,367,1078,560,982,560,1179,632,1129,631,1105,734,1092,721
127,1014,354,1070,401,916,392,1137,418,857,374,1097,386,968,364,1090,550,1000,552,1172,636,1157,631,1116,736,1115,726
128,1010,352,1061,400,921,387,1130,413,844,363,1093,386,950,353,1071,544,985,544,1152,638,1003,631,1116,735,1104,725
129,994,349,1064,377,908,372,1113,398,835,352,1036,362,931,343,1055,540,960,541,1150,633,947,632,1116,738,886,673
130,1005,330,1071,373,906,358,1127,407,800,342,1061,369,936,333,1046,533,957,535,1137,636,932,634,1107,743,872,681
131,1000,315,1046,369,909,357,1113,393,793,338,1060,365,939,324,1035,531,958,528,1113,629,913,631,1103,743,855,692
132,989,316,1050,373,886,352,1117,400,780,330,1060,362,946,319,1027,528,948,529,1108,630,911,630,1099,738,863,690
133,985,312,1031,353,891,336,1101,392,791,332,1032,359,950,330,1037,523,943,523,1098,628,901,631,1100,740,860,703
134,989,311,1025,359,885,338,1094,394,786,334,1018,360,922,321,1016,523,923,525,1081,626,883,636,1102,739,857,706
135,981,317,1029,371,879,350,1088,391,785,328,1022,360,905,318,1001,524,921,524,1058,624,892,632,1098,737,862,705
136,956,320,1022,370,864,357,1091,389,768,330,986,347,918,330,1002,533,911,533,1045,626,887,634,1101,740,860,707
137,949,321,1016,362,857,354,1086,386,768,338,988,345,908,330,998,528,910,527,1035,625,904,630,1095,736,866,703
138,943,316,1003,358,844,346,1071,379,765,336,989,347,901,330,990,530,898,531,1028,626,891,630,1099,737,865,704
139,940,314,1007,365,850,356,1091,385,759,338,985,343,887,328,984,528,897,529,1028,625,889,628,1097,736,865,707
