FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
76,-0.025355,0.16818,-0.20464,-0.11619,0.005216,-0.168,-0.31772,0.10994,-0.37229,0.13004,0.015743,-0.15334,0.23061,0.1515,-0.39955,-0.31532,0.30769,-0.54168,0.21518,0.36216,-0.56417,-0.080119,-0.44617,0.14042,0.090947,-0.4361,0.15359,-0.12522,-0.56507,-0.21648,0.090344,-0.55514,-0.2051,-0.099703,-0.87609,-0.002223,0.10535,-0.87643,-0.005897
77,-0.025196,0.1608,-0.2051,-0.10144,0.001155,-0.17512,-0.31529,0.10352,-0.37031,0.12974,0.010501,-0.1533,0.2283,0.14724,-0.39951,-0.3095,0.30518,-0.53748,0.20905,0.35556,-0.55968,-0.080019,-0.44839,0.14231,0.090861,-0.43929,0.15635,-0.12521,-0.56555,-0.21648,0.089557,-0.55506,-0.20452,-0.099395,-0.87643,-0.002107,0.105,-0.87643,-0.005853
78,-0.025196,0.15396,-0.2051,-0.093076,-0.003857,-0.17677,-0.31482,0.098278,-0.36715,0.1294,0.00759,-0.15319,0.22589,0.14468,-0.39947,-0.30325,0.3033,-0.53231,0.20214,0.35035,-0.55519,-0.080454,-0.45074,0.14428,0.09028,-0.44182,0.15923,-0.12509,-0.56534,-0.21592,0.089118,-0.55465,-0.20361,-0.099294,-0.87659,-0.001953,0.10488,-0.87643,-0.005606
79,-0.025196,0.14871,-0.2051,-0.093076,-0.010964,-0.17677,-0.31431,0.093405,-0.36424,0.129,0.005541,-0.15248,0.223,0.14298,-0.39942,-0.29653,0.30166,-0.52638,0.19448,0.34597,-0.55071,-0.080419,-0.45467,0.14634,0.089517,-0.44427,0.16223,-0.12505,-0.56534,-0.21467,0.088728,-0.55424,-0.202,-0.09929,-0.87665,-0.001712,0.10481,-0.87631,-0.005604
80,-0.025195,0.14723,-0.20503,-0.093076,-0.014385,-0.17677,-0.3135,0.088502,-0.36161,0.12853,0.005536,-0.15199,0.22005,0.14291,-0.39927,-0.2898,0.30018,-0.52004,0.18616,0.34277,-0.54618,-0.080388,-0.45705,0.14818,0.089174,-0.44486,0.16457,-0.12497,-0.56478,-0.21321,0.088256,-0.55364,-0.20042,-0.099284,-0.87665,-0.001374,0.10473,-0.87608,-0.005603
81,-0.02631,0.14587,-0.20386,-0.093092,-0.017466,-0.17676,-0.31204,0.083721,-0.35911,0.12792,0.005136,-0.15138,0.21685,0.14206,-0.39883,-0.28303,0.29902,-0.51347,0.17737,0.34059,-0.54191,-0.080127,-0.45944,0.1507,0.089134,-0.44519,0.16702,-0.12512,-0.56394,-0.21123,0.087719,-0.55278,-0.19845,-0.099242,-0.87665,-0.001035,0.10468,-0.8757,-0.005602
82,-0.029054,0.14492,-0.20089,-0.094988,-0.01888,-0.1763,-0.30994,0.082272,-0.35842,0.12716,0.004793,-0.15059,0.21377,0.14206,-0.39808,-0.27614,0.29767,-0.5077,0.16831,0.3392,-0.53862,-0.079478,-0.46097,0.15389,0.08918,-0.44565,0.16974,-0.12544,-0.56247,-0.20912,0.087212,-0.55169,-0.19613,-0.099258,-0.87654,-0.000695,0.10462,-0.87496,-0.00544
83,-0.033879,0.14492,-0.1989,-0.10145,-0.016142,-0.17569,-0.30752,0.081089,-0.35846,0.12624,0.004655,-0.14968,0.21023,0.14206,-0.39708,-0.2685,0.29618,-0.50374,0.15948,0.33835,-0.5362,-0.078511,-0.46092,0.15745,0.089053,-0.44565,0.17191,-0.12538,-0.56098,-0.2059,0.086648,-0.55077,-0.19431,-0.099408,-0.87641,-0.000429,0.10461,-0.87423,-0.005084
84,-0.037443,0.14296,-0.19544,-0.10289,-0.014664,-0.17308,-0.30462,0.079842,-0.35843,0.12385,0.002781,-0.14611,0.20577,0.14251,-0.39579,-0.25886,0.29265,-0.50114,0.15014,0.33799,-0.53463,-0.077586,-0.46006,0.16137,0.089099,-0.44552,0.17403,-0.12532,-0.55956,-0.20213,0.086101,-0.54996,-0.19279,-0.099564,-0.87615,-0.00011,0.10468,-0.87362,-0.004532
85,-0.040906,0.14059,-0.19095,-0.11032,-0.008485,-0.16895,-0.30163,0.079334,-0.35848,0.12126,0.001242,-0.14233,0.20047,0.14403,-0.39437,-0.24936,0.28937,-0.49956,0.13977,0.33779,-0.53349,-0.076351,-0.45765,0.16521,0.088935,-0.44522,0.17617,-0.12525,-0.5581,-0.19797,0.085518,-0.54913,-0.19111,-0.099701,-0.87586,0.00031,0.10479,-0.87319,-0.003966
86,-0.043753,0.13835,-0.18616,-0.12484,-0.008485,-0.16335,-0.30211,0.079334,-0.3583,0.11762,-4.2e-05,-0.13848,0.1945,0.14604,-0.39296,-0.2404,0.28583,-0.49706,0.12964,0.33778,-0.53246,-0.075194,-0.45591,0.16848,0.08897,-0.44411,0.1783,-0.12501,-0.55712,-0.19476,0.084962,-0.54828,-0.189,-0.099953,-0.87558,0.000856,0.10486,-0.87245,-0.003232
87,-0.047603,0.13659,-0.18145,-0.1404,-0.008485,-0.15754,-0.3024,0.079474,-0.35917,0.11371,-0.001659,-0.13451,0.18843,0.14826,-0.3918,-0.23198,0.28092,-0.49535,0.11866,0.33778,-0.53146,-0.074265,-0.45546,0.17182,0.089019,-0.44369,0.18029,-0.12463,-0.55613,-0.19169,0.084288,-0.54745,-0.18693,-0.10021,-0.87527,0.001394,0.10505,-0.87168,-0.002354
88,-0.051282,0.13446,-0.1769,-0.15836,-0.008485,-0.14758,-0.30119,0.0796,-0.35898,0.10969,-0.0036,-0.13034,0.18271,0.14993,-0.39037,-0.2252,0.27693,-0.49373,0.10795,0.33787,-0.53009,-0.073254,-0.45546,0.17507,0.089202,-0.44372,0.18226,-0.12414,-0.55483,-0.18886,0.083634,-0.54655,-0.18489,-0.10042,-0.87492,0.001811,0.10528,-0.87106,-0.001562
89,-0.054915,0.13234,-0.17263,-0.17006,-0.008052,-0.13869,-0.29868,0.079004,-0.3578,0.10577,-0.003375,-0.12623,0.17689,0.15156,-0.38895,-0.22038,0.27391,-0.49174,0.097664,0.33829,-0.52862,-0.071522,-0.45615,0.17827,0.089413,-0.44337,0.18485,-0.12366,-0.55306,-0.18627,0.083154,-0.54556,-0.18229,-0.10051,-0.87456,0.002178,0.10548,-0.87049,-0.000792
90,-0.057061,0.13044,-0.16826,-0.17753,-0.007647,-0.13516,-0.29723,0.078923,-0.35678,0.10199,-0.003172,-0.12223,0.17138,0.15343,-0.38768,-0.21767,0.27099,-0.48968,0.088169,0.33879,-0.52733,-0.069762,-0.45692,0.18108,0.089988,-0.4431,0.18761,-0.12314,-0.55138,-0.18402,0.082834,-0.54465,-0.17968,-0.10058,-0.87419,0.002561,0.10565,-0.86997,-0.000123
91,-0.05813,0.12884,-0.1649,-0.17889,-0.006702,-0.13292,-0.29714,0.078923,-0.35654,0.097963,-0.003022,-0.11839,0.16624,0.15515,-0.38652,-0.2158,0.2704,-0.48745,0.079584,0.33956,-0.52618,-0.068326,-0.45794,0.18321,0.090826,-0.44284,0.18995,-0.12245,-0.55028,-0.18193,0.082682,-0.54381,-0.17734,-0.10067,-0.87385,0.002936,0.10582,-0.86975,0.000434
92,-0.058966,0.12747,-0.16193,-0.17984,-0.005746,-0.13092,-0.29823,0.079528,-0.35652,0.094151,-0.002877,-0.11465,0.16199,0.15807,-0.38517,-0.21577,0.2704,-0.48555,0.072402,0.34072,-0.52508,-0.066767,-0.45906,0.18485,0.091694,-0.44254,0.19204,-0.12178,-0.5492,-0.18022,0.082652,-0.54306,-0.17527,-0.10074,-0.87351,0.003309,0.10598,-0.86951,0.000872
93,-0.059622,0.12747,-0.15962,-0.18044,-0.002356,-0.13039,-0.29822,0.079528,-0.35588,0.09175,-0.002816,-0.11361,0.15896,0.16167,-0.38389,-0.21573,0.2704,-0.48346,0.067395,0.34268,-0.52414,-0.065294,-0.45894,0.18646,0.092585,-0.44172,0.19381,-0.12097,-0.54809,-0.17852,0.082685,-0.54234,-0.17328,-0.10078,-0.87329,0.003659,0.10612,-0.86927,0.001199
94,-0.059657,0.12853,-0.1575,-0.17835,0.003409,-0.13049,-0.29821,0.080816,-0.35507,0.08994,-0.002816,-0.11298,0.15715,0.16583,-0.38264,-0.2157,0.2704,-0.48166,0.064464,0.34529,-0.52308,-0.06431,-0.4567,0.18789,0.093328,-0.44036,0.19526,-0.12017,-0.54732,-0.17681,0.082716,-0.54175,-0.17148,-0.10086,-0.87296,0.003991,0.10618,-0.86894,0.001434
95,-0.059107,0.12962,-0.15565,-0.17678,0.00809,-0.12981,-0.29818,0.082929,-0.35348,0.089643,-0.00243,-0.11259,0.15634,0.17076,-0.38119,-0.21583,0.27389,-0.47864,0.062113,0.3486,-0.52188,-0.063154,-0.45433,0.18915,0.094179,-0.43931,0.19684,-0.1196,-0.54679,-0.17576,0.082739,-0.54107,-0.17009,-0.10094,-0.8726,0.004153,0.10615,-0.86855,0.001618
96,-0.058457,0.13194,-0.15383,-0.17544,0.013042,-0.12878,-0.29896,0.086096,-0.35152,0.089643,0.000635,-0.11261,0.15595,0.17643,-0.3805,-0.21928,0.27552,-0.47592,0.061582,0.35392,-0.51935,-0.062052,-0.45202,0.19016,0.094899,-0.4386,0.19845,-0.11901,-0.54631,-0.17472,0.082796,-0.54052,-0.16874,-0.10102,-0.87221,0.004248,0.10622,-0.86815,0.001723
97,-0.058188,0.13262,-0.15189,-0.17469,0.016965,-0.12671,-0.30096,0.090043,-0.34878,0.08965,0.00565,-0.11216,0.15586,0.18278,-0.37883,-0.22379,0.28143,-0.47153,0.061376,0.36001,-0.51581,-0.060912,-0.45,0.19119,0.095594,-0.43737,0.19999,-0.1185,-0.5459,-0.17364,0.082978,-0.53993,-0.16741,-0.1011,-0.87212,0.004403,0.10622,-0.86777,0.001787
