FrameNo,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,1009,342,0.7230215072631836,1072,387,0.5000159740447998,951,394,0.6042252779006958,1121,444,0.3994405269622803,909,446,0.4205850064754486,1126,498,0.5156909227371216,897,485,0.43368130922317505,1047,519,0.5605688691139221,961,517,0.5381270051002502,1050,616,0.6335299611091614,955,615,0.47974541783332825,1055,702,0.40267127752304077,949,708,0.4254692494869232
1,1013,341,0.7256978750228882,1073,387,0.5206547975540161,949,392,0.6226217150688171,1124,442,0.41421517729759216,907,444,0.4222765266895294,1090,489,0.46907395124435425,896,472,0.3360993266105652,1050,517,0.5404393672943115,961,514,0.49097904562950134,1049,610,0.600625216960907,952,610,0.4568573236465454,1058,697,0.4011023938655853,947,702,0.4070725739002228
2,1011,342,0.7316609621047974,1071,387,0.5316050052642822,948,393,0.6570864319801331,1121,443,0.40835219621658325,903,444,0.4145514667034149,1103,493,0.48933205008506775,895,476,0.3386462330818176,1047,519,0.5570017099380493,959,517,0.5169637799263,1052,613,0.6275009512901306,952,612,0.44355079531669617,1057,698,0.406736820936203,947,705,0.41405215859413147
3,1010,342,0.7331811785697937,1073,387,0.5502032041549683,948,394,0.6603860855102539,1123,443,0.3985455334186554,904,445,0.4138500392436981,1105,492,0.4789062738418579,892,476,0.41639915108680725,1051,521,0.577705979347229,961,519,0.5513758659362793,1056,615,0.6401729583740234,955,616,0.4712921679019928,1059,703,0.4100325405597687,949,709,0.39072176814079285
4,1012,344,0.7523836493492126,1074,388,0.5599675178527832,947,394,0.6692286133766174,1123,442,0.4299653172492981,904,445,0.4327777028083801,1107,490,0.4866480827331543,892,478,0.3985576033592224,1047,520,0.5838963985443115,957,518,0.5280187129974365,1049,616,0.6405143737792969,951,616,0.45129549503326416,1056,703,0.4274457097053528,943,707,0.41585400700569153
5,1012,344,0.74195396900177,1072,388,0.5737466216087341,948,392,0.6641060709953308,1121,443,0.4147646725177765,903,443,0.43287116289138794,1121,497,0.40551528334617615,875,483,0.48204711079597473,1043,518,0.5834447741508484,954,516,0.4941612184047699,1058,618,0.6609387397766113,952,619,0.522889256477356,1057,709,0.4469866454601288,950,710,0.4253074526786804
6,1013,344,0.7443503141403198,1075,389,0.560328483581543,951,393,0.6406270861625671,1129,441,0.3497719168663025,903,445,0.4533946216106415,1145,495,0.5067158937454224,869,487,0.5211085677146912,1047,518,0.5647096633911133,956,516,0.48675456643104553,1059,619,0.6152570247650146,967,617,0.5822161436080933,1058,706,0.4122171700000763,948,709,0.4184461534023285
7,1013,344,0.7577952146530151,1075,387,0.5700728893280029,955,392,0.6642829775810242,1136,448,0.32695236802101135,906,444,0.33175498247146606,1173,489,0.6596817970275879,861,478,0.5258026123046875,1056,516,0.5305823683738708,961,515,0.5200057029724121,1067,612,0.608231782913208,951,610,0.46830007433891296,1060,696,0.36602482199668884,949,699,0.46466273069381714
8,1012,346,0.75132155418396,1064,387,0.5295142531394958,952,394,0.6766020655632019,1127,441,0.37039539217948914,899,442,0.3090411126613617,1181,465,0.6217358708381653,845,466,0.48014312982559204,1052,516,0.5832522511482239,959,516,0.5324416160583496,1060,610,0.5924413800239563,968,606,0.6045470237731934,1058,695,0.332722008228302,945,699,0.46379268169403076
9,1013,346,0.7574445605278015,1064,384,0.527442991733551,961,394,0.6165971755981445,1141,433,0.3386071026325226,903,435,0.3146693706512451,1200,447,0.6387321949005127,847,459,0.6591501235961914,1051,513,0.6326632499694824,962,513,0.5802162885665894,1056,609,0.5923030972480774,968,604,0.5843766927719116,1052,702,0.3655446767807007,946,698,0.4470967948436737
10,1013,347,0.750956118106842,1065,383,0.4984535574913025,953,391,0.6135071516036987,1145,425,0.3284149467945099,891,430,0.3039208650588989,1207,418,0.5440077185630798,810,439,0.4727645218372345,1046,516,0.607700765132904,956,514,0.4545031189918518,1048,611,0.6064335107803345,967,607,0.6021369695663452,1050,703,0.34093207120895386,944,702,0.45882877707481384
11,1012,347,0.7194141745567322,1065,378,0.4231819212436676,951,389,0.6031535267829895,1149,409,0.31140241026878357,878,421,0.29644888639450073,1211,402,0.5968082547187805,779,417,0.3343753516674042,1039,516,0.5145246386528015,956,519,0.541059136390686,1042,615,0.6197322607040405,968,610,0.6247872710227966,1052,701,0.372498482465744,945,704,0.46986353397369385
12,1017,345,0.6916108131408691,1074,376,0.4088418483734131,950,386,0.5196038484573364,1160,396,0.40688177943229675,855,404,0.35336029529571533,1240,375,0.6226323246955872,780,395,0.587112307548523,1042,519,0.5183578729629517,958,520,0.5330037474632263,1043,614,0.6061455607414246,969,611,0.5793255567550659,1052,708,0.4346503019332886,950,714,0.424702525138855
13,1020,338,0.533674955368042,1076,375,0.5459998846054077,949,380,0.3877617120742798,1167,379,0.3528714179992676,851,391,0.4301232099533081,1250,344,0.6147719621658325,759,354,0.6229841113090515,1044,520,0.537881076335907,956,520,0.5133780837059021,1047,617,0.6206232905387878,969,620,0.6010201573371887,1051,710,0.41456446051597595,953,716,0.4188598692417145
14,1023,336,0.47054988145828247,1081,377,0.5463123321533203,952,379,0.3398945927619934,1186,368,0.37620750069618225,853,376,0.4806971549987793,1254,313,0.5871067643165588,770,334,0.6614320278167725,1041,515,0.425334095954895,953,516,0.39185062050819397,1037,615,0.5747836828231812,963,614,0.612921416759491,1047,709,0.40838566422462463,949,716,0.4041285812854767
15,1013,340,0.5619584918022156,1074,375,0.555551290512085,940,382,0.48035603761672974,1189,354,0.38623499870300293,840,356,0.41513437032699585,1246,301,0.4499272108078003,753,305,0.6576310992240906,1033,520,0.5222914218902588,946,523,0.46906131505966187,1027,620,0.5540348291397095,958,618,0.6677610874176025,1044,709,0.45065900683403015,943,714,0.5072932243347168
16,1012,338,0.5533970594406128,1067,379,0.4430214464664459,946,379,0.3563547134399414,1180,352,0.3740347921848297,852,353,0.47359225153923035,1239,292,0.6297784447669983,777,300,0.608829140663147,1037,518,0.4401644468307495,952,520,0.4030902683734894,1034,617,0.5733053088188171,955,615,0.6078675985336304,1043,709,0.3965179920196533,944,715,0.46103888750076294
17,1014,338,0.5330536365509033,1072,377,0.5388762354850769,957,382,0.3867935240268707,1170,346,0.1896935999393463,861,351,0.482243150472641,1231,277,0.777380108833313,797,290,0.5878314971923828,1035,514,0.41087111830711365,952,517,0.3893095552921295,1025,616,0.5531588792800903,958,611,0.590272068977356,1040,708,0.39934179186820984,944,713,0.4892257750034332
18,1019,330,0.4188403785228729,1069,375,0.5235845446586609,945,375,0.3988727927207947,1183,309,0.3432915508747101,853,324,0.36971983313560486,1220,251,0.7508600950241089,793,266,0.623157799243927,1033,517,0.4952930808067322,945,518,0.4485706686973572,1027,617,0.5902550220489502,954,613,0.6620612144470215,1041,707,0.45146068930625916,947,713,0.5154446363449097
19,1009,324,0.5700106620788574,1067,364,0.4791317582130432,949,375,0.5550171136856079,1182,290,0.39165353775024414,857,311,0.2809922695159912,1209,240,0.38320162892341614,800,258,0.6541756391525269,1034,514,0.4726812541484833,947,516,0.4150160253047943,1030,619,0.6068375706672668,954,617,0.6876363754272461,1042,708,0.4432050287723541,948,714,0.49601373076438904
20,1017,330,0.5968383550643921,1068,366,0.5011650919914246,950,376,0.5477319359779358,1176,293,0.4915574789047241,872,314,0.34858831763267517,1201,234,0.473348468542099,818,246,0.6304762363433838,1033,519,0.5567166805267334,945,519,0.4925113022327423,1032,621,0.6254255771636963,953,620,0.721567690372467,1043,706,0.4786350131034851,951,714,0.5257658958435059
21,1012,328,0.5693457722663879,1082,370,0.5609457492828369,949,375,0.5535734295845032,1151,299,0.36396145820617676,876,294,0.35705047845840454,1181,229,0.3918546438217163,850,235,0.4143306612968445,1031,517,0.5264077186584473,944,517,0.45581430196762085,1040,621,0.6425789594650269,951,621,0.7356159687042236,1040,705,0.4733525216579437,949,713,0.5355687141418457
22,1006,323,0.5442567467689514,1077,366,0.5665290951728821,950,375,0.5796909928321838,1151,295,0.3474139869213104,929,314,0.1593591868877411,1176,224,0.43906262516975403,865,237,0.1559835523366928,1030,513,0.44622543454170227,955,515,0.5810505747795105,1040,620,0.6392903923988342,956,621,0.7300952076911926,1041,706,0.4585281014442444,952,714,0.49788737297058105
