FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
7,0.014738,0.70356,-0.047022,-0.12381,0.50057,-0.022348,-0.20031,0.73195,-0.04509,0.14439,0.50757,-0.022714,0.21101,0.74087,-0.03618,-0.21169,0.96513,-0.074704,0.23081,0.96732,-0.062828,-0.061247,0.008263,-0.039244,0.069235,0.008436,-0.039787,-0.11485,-0.33955,-0.032511,0.107,-0.34586,-0.016585,-0.12044,-0.68581,0.020772,0.12687,-0.68628,0.015872
8,0.015202,0.70381,-0.047025,-0.12377,0.50133,-0.022278,-0.19797,0.7325,-0.043201,0.14437,0.5077,-0.02254,0.2095,0.74111,-0.033719,-0.21027,0.96885,-0.071551,0.23084,0.96732,-0.058625,-0.060944,0.008969,-0.039355,0.069351,0.009145,-0.039788,-0.11448,-0.33892,-0.033215,0.1072,-0.34521,-0.016651,-0.12038,-0.68604,0.020711,0.12683,-0.68645,0.015793
9,0.015403,0.70408,-0.047027,-0.12377,0.5013,-0.022063,-0.19596,0.73296,-0.041648,0.14437,0.50786,-0.02243,0.20859,0.7412,-0.031669,-0.2095,0.97251,-0.069398,0.23086,0.96573,-0.056161,-0.060713,0.009746,-0.039357,0.069394,0.00986,-0.039788,-0.11419,-0.33832,-0.033785,0.10736,-0.34459,-0.016695,-0.12026,-0.68639,0.020605,0.12685,-0.68655,0.015705
10,0.015596,0.70452,-0.047028,-0.12376,0.50128,-0.021795,-0.19435,0.73331,-0.04039,0.14437,0.50804,-0.022356,0.20859,0.74134,-0.030352,-0.20919,0.97561,-0.068609,0.23102,0.96344,-0.054683,-0.060713,0.009906,-0.039394,0.069479,0.010013,-0.039789,-0.11397,-0.33776,-0.034273,0.10752,-0.34416,-0.016696,-0.1203,-0.68643,0.020516,0.12686,-0.68666,0.015615
11,0.015607,0.70498,-0.04696,-0.12376,0.50128,-0.021519,-0.1937,0.73394,-0.039544,0.14438,0.50814,-0.022139,0.2086,0.74087,-0.029126,-0.20919,0.97867,-0.068497,0.2319,0.96306,-0.053307,-0.060713,0.010102,-0.039329,0.069502,0.010221,-0.039668,-0.11395,-0.33751,-0.034436,0.10763,-0.34373,-0.016697,-0.12037,-0.68642,0.020423,0.12686,-0.68712,0.015588
12,0.01561,0.7055,-0.046638,-0.12385,0.50128,-0.021159,-0.19336,0.73444,-0.038917,0.14445,0.50814,-0.021833,0.20861,0.74009,-0.028026,-0.20919,0.97961,-0.068344,0.2335,0.96267,-0.05205,-0.060713,0.010329,-0.039338,0.069503,0.010399,-0.03947,-0.11391,-0.33744,-0.034573,0.10773,-0.34334,-0.016697,-0.12037,-0.68651,0.020313,0.12687,-0.68756,0.015538
13,0.015612,0.7061,-0.046277,-0.12399,0.50176,-0.020817,-0.19328,0.73485,-0.03837,0.14452,0.50818,-0.021445,0.20862,0.73916,-0.026845,-0.20919,0.97994,-0.068222,0.23547,0.96255,-0.051019,-0.06081,0.010564,-0.03914,0.069506,0.010598,-0.039104,-0.11391,-0.33736,-0.03473,0.10781,-0.34307,-0.016655,-0.12037,-0.68651,0.020203,0.12689,-0.68789,0.015538
14,0.015481,0.70683,-0.045774,-0.12413,0.50278,-0.020512,-0.19326,0.73591,-0.038004,0.14459,0.50835,-0.020996,0.20898,0.7383,-0.025479,-0.20925,0.98128,-0.068112,0.23742,0.96268,-0.049894,-0.060929,0.010856,-0.038931,0.069468,0.010837,-0.038559,-0.11391,-0.33724,-0.034885,0.10786,-0.343,-0.016545,-0.12042,-0.68651,0.020078,0.12692,-0.68819,0.01554
15,0.015251,0.70752,-0.045107,-0.12426,0.50411,-0.020293,-0.19326,0.73734,-0.037719,0.14463,0.50857,-0.020546,0.20948,0.73806,-0.024468,-0.20941,0.98269,-0.068,0.23797,0.9628,-0.049538,-0.061171,0.011089,-0.03873,0.069376,0.011068,-0.038057,-0.11392,-0.33717,-0.035011,0.10786,-0.34286,-0.016438,-0.12046,-0.68641,0.02,0.12693,-0.68819,0.015521
16,0.014983,0.70826,-0.04425,-0.12426,0.50559,-0.020134,-0.19325,0.73864,-0.037404,0.14464,0.50879,-0.020044,0.20998,0.73788,-0.023273,-0.20976,0.98398,-0.067893,0.23839,0.9628,-0.04912,-0.061369,0.011458,-0.038728,0.06921,0.011471,-0.037572,-0.11396,-0.3371,-0.035106,0.10786,-0.34278,-0.016297,-0.12058,-0.68603,0.019782,0.12698,-0.68813,0.015568
17,0.01475,0.70895,-0.043381,-0.12426,0.50654,-0.019979,-0.19329,0.73979,-0.037154,0.14464,0.50894,-0.019546,0.21048,0.73779,-0.022081,-0.21016,0.98513,-0.067605,0.23875,0.9628,-0.048634,-0.061494,0.011807,-0.038727,0.069074,0.011777,-0.037108,-0.11403,-0.3371,-0.035212,0.10786,-0.34268,-0.016133,-0.12063,-0.68565,0.019507,0.12698,-0.68813,0.015562
18,0.014543,0.7096,-0.042571,-0.12426,0.50717,-0.019873,-0.19358,0.7409,-0.036917,0.14464,0.50911,-0.019073,0.21093,0.73772,-0.020902,-0.21058,0.98626,-0.067472,0.23901,0.9628,-0.04824,-0.061591,0.01214,-0.038727,0.068944,0.012013,-0.036629,-0.11415,-0.33714,-0.035308,0.10784,-0.3426,-0.016031,-0.1206,-0.68558,0.019262,0.12701,-0.68828,0.01552
